t_rel,real_os,gap_ms,tcp_rtt_ms,syn_ttl,syn_window,tcp_os,client_ip
,linux,0.588,146.862,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.389,144.155,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.511,158.359,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.208,153.08,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.366,157.583,51,62727,linux,ip_7b200b4f468e5d2c
,linux,0.495,151.642,53,62727,linux,ip_7b200b4f468e5d2c
,linux,0.376,157.297,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.593,144.824,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.477,154.496,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.576,152.068,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.391,150.572,55,62727,linux,ip_7b200b4f468e5d2c
,linux,0.374,150.857,53,62727,linux,ip_7b200b4f468e5d2c
,linux,0.489,147.783,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.381,155.913,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.517,144.737,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.396,151.832,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.589,154.377,55,62727,linux,ip_7b200b4f468e5d2c
,linux,0.333,149.862,55,62727,linux,ip_7b200b4f468e5d2c
,linux,0.377,148.113,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.39,153.367,55,62727,linux,ip_7b200b4f468e5d2c
,linux,0.385,148.922,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.496,145.631,53,62727,linux,ip_7b200b4f468e5d2c
,linux,0.468,142.85,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.607,147.321,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.371,149.14,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.592,149.199,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.391,151.639,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.33,149.898,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.349,147.274,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.392,149.013,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.476,147.821,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.4,146.908,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.614,142.337,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.439,144.664,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.559,143.152,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.0,157.152,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.541,145.655,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.625,144.851,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.379,142.517,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.619,146.307,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.45,148.938,55,62727,linux,ip_7b200b4f468e5d2c
,linux,0.453,143.013,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.386,143.253,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.476,149.323,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.522,144.427,55,62727,linux,ip_7b200b4f468e5d2c
,linux,0.373,148.687,53,62727,linux,ip_7b200b4f468e5d2c
,linux,0.516,146.841,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.411,145.946,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.541,148.406,57,62727,linux,ip_7b200b4f468e5d2c
,linux,0.416,144.361,57,62727,linux,ip_7b200b4f468e5d2c
,windows,0.914,147.727,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.687,142.504,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.704,145.443,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.599,148.271,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.617,151.327,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.614,145.586,119,65535,windows,ip_f1b230c88f2a18c1
,windows,0.672,148.881,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.522,144.47,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.58,148.027,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.746,148.19,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.598,149.282,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.591,143.107,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.66,144.995,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.54,142.002,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.631,146.34,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.621,147.465,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.624,145.419,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.715,152.17,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.628,144.945,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.592,147.723,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.622,147.539,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.662,151.239,119,65535,windows,ip_f1b230c88f2a18c1
,windows,0.603,150.049,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.658,144.214,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.594,149.494,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.613,142.506,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.524,148.891,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.573,146.225,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.645,145.158,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.568,148.821,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.678,152.53,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.587,147.017,119,65535,windows,ip_f1b230c88f2a18c1
,windows,0.583,148.879,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.591,148.56,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.593,142.633,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.627,139.735,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.511,145.104,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.617,148.465,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.552,141.638,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.648,144.927,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.569,147.799,119,65535,windows,ip_f1b230c88f2a18c1
,windows,0.595,148.374,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.645,151.739,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.657,145.008,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.665,145.049,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.613,144.793,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.738,142.319,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.769,150.964,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.536,152.349,121,65535,windows,ip_f1b230c88f2a18c1
,windows,0.778,145.427,121,65535,windows,ip_f1b230c88f2a18c1
