t_rel,server,server_label,client_ip,gap_ms,tcp_rtt_ms,syn_ttl,syn_window,src,proto,country,provider
,us,US (Virginia),ip_c0bd213fa08b8a3a,43.969,38.54,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,49.671,40.333,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,45.166,41.831,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,46.408,34.934,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,35.346,44.191,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,110.254,40.532,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,79.664,38.821,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_12ce08bf7938fe74,2.95,103.505,53,42340,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,43.599,38.121,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,44.322,41.182,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,50.028,46.256,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,48.355,55.772,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,41.993,41.52,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,82.054,38.426,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,43.301,48.356,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,48.139,104.339,50,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,42.58,35.322,54,65535,soax,http_connect,us,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,44.992,34.806,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,94.42,42.109,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,39.477,74.5,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,46.609,38.325,50,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,45.243,38.043,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,39.914,43.137,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,39.938,40.588,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,44.946,54.725,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,115.875,37.601,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,32.263,115.887,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,46.215,40.585,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,44.105,43.358,54,65535,soax,http_connect,kr,soax
,us,US (Virginia),ip_c0bd213fa08b8a3a,38.117,43.122,54,65535,soax,http_connect,kr,soax
