t_rel,server,gap_ms,tcp_rtt_ms,syn_ttl,provider,protocol,country
,us,48.362,39.796,52,oxylabs,socks5,us
,us,52.979,37.222,53,oxylabs,socks5,us
,us,38.214,29.222,54,oxylabs,socks5,us
,us,47.233,80.001,45,oxylabs,socks5,us
,us,81.203,32.294,53,oxylabs,socks5,us
,us,32.172,24.006,54,oxylabs,socks5,us
,us,99.591,32.458,52,oxylabs,socks5,us
,us,68.133,26.063,53,oxylabs,socks5,us
,us,22.391,24.764,51,oxylabs,socks5,us
,us,64.25,88.597,54,oxylabs,socks5,us
,us,108.091,64.969,52,oxylabs,socks5,us
,us,64.341,60.125,44,oxylabs,socks5,us
,us,125.967,34.924,48,oxylabs,socks5,us
,us,44.201,27.903,51,oxylabs,socks5,us
,us,31.771,23.447,55,oxylabs,socks5,us
,us,93.751,15.898,53,oxylabs,socks5,us
,us,40.353,31.998,51,oxylabs,socks5,us
,us,58.331,58.117,51,oxylabs,socks5,us
,us,50.321,44.931,53,oxylabs,socks5,us
,us,65.946,34.62,53,oxylabs,socks5,us
,us,18.391,18.22,55,oxylabs,socks5,us
,us,47.874,10.353,55,oxylabs,socks5,us
,us,44.065,42.922,51,oxylabs,socks5,us
,us,90.314,39.981,49,oxylabs,socks5,us
,us,28.017,21.472,55,oxylabs,socks5,us
,us,82.602,18.206,52,oxylabs,socks5,us
,us,32.429,26.417,47,oxylabs,socks5,us
,us,44.019,38.932,55,oxylabs,socks5,us
,us,99.489,23.035,54,oxylabs,socks5,us
,us,49.067,11.535,55,oxylabs,socks5,us
,us,106.057,71.872,54,oxylabs,socks5,us
,us,0.209,104.617,53,oxylabs,socks5,us
,us,57.999,34.236,52,oxylabs,socks5,us
,us,14.807,11.957,52,oxylabs,socks5,us
,us,82.846,73.674,50,oxylabs,socks5,us
,us,78.128,25.857,55,oxylabs,socks5,us
,us,22.413,26.09,47,oxylabs,socks5,us
,us,78.739,82.477,46,oxylabs,socks5,us
,us,602.706,31.738,52,oxylabs,socks5,us
,us,68.092,17.506,54,oxylabs,socks5,us
,us,95.52,46.457,51,oxylabs,socks5,us
,us,90.501,47.37,54,oxylabs,socks5,us
,us,16.0,35.951,54,oxylabs,socks5,us
,us,63.55,22.731,52,oxylabs,socks5,us
,us,133.523,23.955,53,oxylabs,socks5,us
,us,22.85,41.131,55,oxylabs,socks5,us
,us,105.155,85.015,52,oxylabs,socks5,us
,us,25.601,20.629,53,oxylabs,socks5,us
,us,31.415,40.5,51,oxylabs,socks5,us
,us,40.993,29.721,49,oxylabs,socks5,us
,us,55.19,25.413,52,oxylabs,socks5,ca
,us,100.1,45.535,50,oxylabs,socks5,ca
,us,63.037,69.983,54,oxylabs,socks5,ca
,us,164.304,41.523,52,oxylabs,socks5,ca
,us,54.951,31.62,54,oxylabs,socks5,ca
,us,29.571,21.504,51,oxylabs,socks5,ca
,us,84.433,45.514,48,oxylabs,socks5,ca
,us,32.029,35.949,53,oxylabs,socks5,ca
,us,89.063,28.552,56,oxylabs,socks5,ca
,us,98.736,72.761,50,oxylabs,socks5,ca
,us,85.29,38.607,53,oxylabs,socks5,ca
,us,356.226,51.772,56,oxylabs,socks5,ca
,us,47.496,34.569,55,oxylabs,socks5,ca
,us,0.0,25.971,54,oxylabs,socks5,ca
,us,107.692,69.165,54,oxylabs,socks5,ca
,us,48.893,43.966,54,oxylabs,socks5,ca
,us,61.393,49.518,55,oxylabs,socks5,ca
,us,46.439,35.632,52,oxylabs,socks5,ca
,us,44.312,41.873,55,oxylabs,socks5,ca
,us,86.059,68.106,53,oxylabs,socks5,ca
,us,56.009,52.943,55,oxylabs,socks5,ca
,us,34.98,25.979,53,oxylabs,socks5,ca
,us,86.668,29.303,54,oxylabs,socks5,ca
,us,42.066,41.961,53,oxylabs,socks5,ca
,us,104.032,48.184,54,oxylabs,socks5,ca
,us,107.419,50.188,47,oxylabs,socks5,ca
,us,113.533,51.391,52,oxylabs,socks5,ca
,us,63.15,32.33,49,oxylabs,socks5,ca
,us,63.004,24.313,51,oxylabs,socks5,ca
,us,53.926,43.213,54,oxylabs,socks5,ca
,us,43.672,42.735,54,oxylabs,socks5,ca
,us,105.409,49.658,53,oxylabs,socks5,ca
,us,100.807,72.07,51,oxylabs,socks5,ca
,us,109.068,51.814,46,oxylabs,socks5,ca
,us,141.597,86.766,46,oxylabs,socks5,ca
,us,42.974,26.589,54,oxylabs,socks5,ca
,us,43.282,45.115,54,oxylabs,socks5,ca
,us,109.127,88.248,56,oxylabs,socks5,ca
,us,42.624,34.711,54,oxylabs,socks5,ca
,us,45.535,37.282,54,oxylabs,socks5,ca
,us,59.398,43.827,54,oxylabs,socks5,ca
,us,62.647,32.403,54,oxylabs,socks5,ca
,us,55.909,38.107,53,oxylabs,socks5,ca
,us,64.317,29.606,55,oxylabs,socks5,ca
,us,68.273,33.51,52,oxylabs,socks5,ca
,us,59.002,61.0,53,oxylabs,socks5,ca
,us,74.508,127.64,56,oxylabs,socks5,ca
,us,53.365,38.174,55,oxylabs,socks5,ca
,us,45.172,30.058,54,oxylabs,socks5,ca
,us,108.307,36.011,54,oxylabs,socks5,ca
,us,185.359,78.061,50,oxylabs,socks5,mx
,us,50.702,28.348,53,oxylabs,socks5,mx
,us,106.253,72.001,53,oxylabs,socks5,mx
,us,115.619,68.951,53,oxylabs,socks5,mx
,us,142.25,72.11,47,oxylabs,socks5,mx
,us,138.007,72.076,49,oxylabs,socks5,mx
,us,279.842,157.652,50,oxylabs,socks5,mx
,us,153.833,132.94,48,oxylabs,socks5,mx
,us,715.783,65.66,52,oxylabs,socks5,mx
,us,108.021,102.072,55,oxylabs,socks5,mx
,us,133.271,94.456,56,oxylabs,socks5,mx
,us,140.018,97.664,56,oxylabs,socks5,mx
,us,99.231,38.831,52,oxylabs,socks5,mx
,us,172.635,83.918,51,oxylabs,socks5,mx
,us,135.133,107.706,56,oxylabs,socks5,mx
,us,159.623,83.888,56,oxylabs,socks5,mx
,us,104.054,49.424,53,oxylabs,socks5,mx
,us,318.582,112.228,55,oxylabs,socks5,mx
