t_rel,traffic_type,gap_ms,tcp_rtt_ms,syn_ttl
,scope_direct,5.326,140.9,57
,scope_direct,2.385,150.001,57
,scope_direct,2.87,153.598,57
,scope_direct,2.365,145.375,57
,scope_direct,2.445,145.908,55
,scope_direct,2.929,148.968,53
,scope_direct,4.072,148.728,57
,scope_direct,2.417,140.675,53
,scope_tor,229.749,234.294,46
,scope_direct,3.493,149.111,55
,scope_direct,2.403,145.433,53
,scope_tor,0.907,170.178,42
,scope_tor,0.075,184.559,40
,scope_tor,397.99,227.441,48
,scope_direct,163.367,235.197,48
,scope_direct,159.681,239.721,48
,scope_direct,2.464,163.923,42
,scope_vpn,3.765,167.316,40
,scope_direct,1.291,169.296,41
,scope_direct,3.704,167.283,42
,scope_vpn,1.254,170.223,42
,scope_direct,3.273,164.365,42
,scope_vpn,2.598,163.477,42
,scope_direct,4.014,168.22,42
,scope_direct,1.0,165.77,42
,scope_vpn,0.941,169.638,42
,scope_direct,2.473,167.973,42
,scope_vpn,1.258,168.652,40
,scope_direct,2.515,167.735,42
,scope_vpn,2.535,164.061,42
,scope_direct,0.372,165.796,39
,scope_vpn,1.127,168.751,41
,scope_direct,2.329,164.745,40
,scope_vpn,4.143,166.961,42
,scope_direct,0.0,169.722,42
,scope_vpn,2.453,170.7,42
,scope_direct,3.515,167.673,40
,scope_vpn,2.555,163.776,42
,scope_direct,0.436,165.945,39
,scope_vpn,0.973,169.093,41
,scope_direct,2.309,164.119,40
,scope_vpn,1.683,165.272,40
,scope_direct,0.287,165.819,41
,scope_vpn,4.187,167.108,42
,scope_direct,2.47,163.719,42
,scope_vpn,2.59,167.198,42
,scope_direct,0.734,165.931,42
,scope_vpn,3.836,171.463,39
,scope_direct,2.396,164.57,42
,scope_vpn,3.773,164.004,42
,scope_direct,20.558,168.455,41
,scope_vpn,5.725,167.313,42
,scope_direct,2.479,170.51,40
,scope_vpn,1.619,169.163,41
,scope_direct,4.56,171.433,42
,scope_direct,1.184,165.198,41
,scope_vpn,1.157,169.395,42
,scope_vpn,3.659,144.915,57
,scope_vpn,2.417,379.42,37
,scope_vpn,2.441,379.245,37
,scope_vpn,0.576,383.806,37
,scope_direct,0.902,381.656,37
,scope_vpn,2.353,367.429,37
,scope_direct,1.716,370.086,39
,scope_vpn,3.382,368.236,39
,scope_tor,4.016,374.32,39
,scope_direct,2.456,370.857,39
,scope_vpn,221.425,225.77,47
,scope_direct,2.588,367.031,39
,scope_vpn,1.127,382.579,37
,scope_tor,0.483,381.991,37
,scope_direct,2.707,380.071,37
,scope_vpn,226.556,225.922,45
,scope_tor,1.27,381.316,37
,scope_direct,2.448,378.948,37
,scope_vpn,222.887,236.92,48
,scope_direct,0.0,381.634,37
,scope_vpn,0.0,384.083,37
,scope_tor,0.992,369.233,39
,scope_direct,2.813,367.09,37
,scope_vpn,215.785,224.706,47
,scope_direct,0.547,371.806,39
,scope_tor,0.593,370.916,39
,scope_vpn,206.504,226.731,47
,scope_direct,2.518,380.443,37
,scope_tor,3.412,369.07,39
,scope_vpn,2.014,370.615,39
,scope_vpn,2.471,365.561,39
,scope_direct,207.47,227.899,48
,scope_direct,1.304,369.018,39
,scope_tor,0.646,368.372,37
,scope_direct,1.956,369.047,39
,scope_vpn,207.49,225.822,47
,scope_tor,2.009,381.026,37
,scope_vpn,2.36,380.934,37
,scope_direct,219.259,240.109,48
,scope_vpn,3.761,379.648,37
,scope_direct,3.67,379.705,37
,scope_direct,1.108,388.881,37
,scope_tor,0.338,383.977,37
,scope_vpn,235.315,224.869,45
,scope_direct,13.005,380.493,37
,scope_direct,12.87,380.344,37
,scope_vpn,1.272,304.89,48
,scope_direct,3.448,311.416,48
,scope_vpn,0.485,307.033,48
,scope_direct,1.21,314.507,48
,scope_tor,3.547,302.569,48
,scope_vpn,3.292,306.932,48
,scope_direct,254.961,246.711,40
,scope_vpn,2.699,301.17,48
,scope_direct,2.781,308.715,48
,scope_tor,3.683,312.639,48
,scope_direct,1.016,301.713,48
,scope_vpn,136.903,234.25,42
,scope_tor,0.782,314.044,48
,scope_direct,1.221,312.894,48
,scope_vpn,254.858,234.027,42
,scope_direct,0.089,308.043,48
,scope_vpn,0.001,308.699,48
,scope_tor,1.271,308.284,48
,scope_vpn,271.034,233.386,42
,scope_direct,2.49,305.976,48
,scope_direct,0.773,313.092,48
,scope_vpn,3.83,310.652,48
,scope_tor,2.495,309.344,48
,scope_direct,199.771,234.644,42
,scope_vpn,2.455,311.254,48
,scope_direct,0.554,308.478,48
,scope_tor,0.71,311.623,48
,scope_vpn,1.386,308.527,48
,scope_direct,137.366,233.165,40
,scope_vpn,2.383,305.831,48
,scope_direct,0.996,306.568,48
,scope_tor,1.041,309.952,46
,scope_direct,574.028,234.24,42
,scope_vpn,0.679,311.565,48
,scope_vpn,3.247,311.209,48
,scope_direct,2.428,302.271,48
,scope_tor,1.451,309.944,48
,scope_vpn,149.952,234.015,42
,scope_direct,0.732,308.259,48
,scope_vpn,2.405,310.908,48
,scope_direct,0.448,312.182,46
,scope_tor,2.38,310.374,48
,scope_vpn,220.033,233.872,42
,scope_direct,3.019,306.933,48
,scope_vpn,0.0,308.895,48
,scope_direct,1.416,311.92,48
,scope_tor,1.121,307.734,48
,scope_vpn,174.448,246.681,40
