t_rel,provider,protocol,country,client_ip,user_agent,ua_os,syn_ttl,syn_window,syn_mss,syn_options,syn_wscale,tcp_os,gap_ms,tcp_rtt_ms,fingerprint_mismatch
0.000,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,50,65535,1460,"2,1,1,8,1,3",,linux,71.893,58.412,mismatch
5.070,soax,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,47,65535,1460,"2,1,1,8,1,3",,linux,131.701,58.423,mismatch
1.740,brightdata,http_connect,us,ip_6432abc63dda276d,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,55,65535,1460,"2,4,8,1,3",,linux,139.125,3.522,mismatch
4.630,direct,none,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,104.735,53.86,mismatch
5.111,direct,none,us,ip_3f930c2944a4c276,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,52,64240,1460,"2,4,8,1,3",,linux,0.045,66.882,mismatch
5.326,direct,none,us,ip_cbafa1b807ae276c,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,55,8192,1460,"2,1,3,1,1,4",,linux,257.172,1.68,match
7.270,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,44,65535,1460,"2,1,1,8,1,3",,linux,57.178,58.461,mismatch
12.972,soax,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,51,65535,1460,"2,1,1,8,1,3",,linux,54.591,62.783,mismatch
13.423,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,50,65535,1460,"2,1,1,8,1,3",,linux,81.533,58.26,mismatch
12.240,direct,none,us,ip_97a55805323e8ecb,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,55,42340,1460,"2,4,8,1,3",,linux,15.204,1.394,mismatch
13.824,brightdata,http_connect,us,ip_1a0bd8602052c5d5,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,56,29200,1460,"2,4,8,1,3",,linux,431.282,1.34,mismatch
13.847,brightdata,http_connect,us,ip_02290f70bf9886d1,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,52,65535,1436,"2,4,8,1,3",,linux,177.304,102.488,mismatch
17.562,direct,none,us,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,51,65535,1460,"2,1,1,8,1,3",,linux,57.465,44.785,match
20.118,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,1,1,8,1,3",,linux,48.064,48.79,mismatch
20.516,brightdata,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,113.09,58.336,mismatch
21.496,direct,none,us,ip_34fdf29a4a695fb5,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",macos,47,64240,1300,"2,4,8,1,3",,linux,120.707,9.383,mismatch
22.535,direct,none,kr,ip_7e6c015252afcef4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,55,8192,1460,"2,1,3,1,1,4",,linux,35.052,1.558,mismatch
26.787,direct,none,kr,ip_a257d074144f9edc,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/145.0.7632.6 Safari/537.36",linux,50,65535,1460,"2,1,1,8,1,3",,linux,46.325,58.383,match
28.045,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,51,65535,1460,"2,1,1,8,1,3",,linux,58.399,56.177,mismatch
29.314,soax,http_connect,us,ip_ac46441ef609ee7c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,117,64240,1460,"2,1,3,1,1,4",,windows,97.119,30.03,match
32.697,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,46,65535,1460,"2,1,1,8,1,3",,linux,53.147,108.389,mismatch
32.826,direct,none,kr,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,50,65535,1460,"2,1,1,8,1,3",,linux,54.328,62.856,mismatch
33.892,soax,http_connect,us,ip_3aacf2aeb1b9d34c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,50,65535,1460,"2,4,8,1,3",,linux,367.304,77.579,mismatch
34.062,direct,none,kr,ip_872046f1a28b6f95,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,119,64240,1460,"2,1,1,4,1,3",,windows,113.73,3.345,match
37.181,brightdata,http_connect,us,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,51,65535,1460,"2,1,1,8,1,3",,linux,49.448,62.782,mismatch
38.469,direct,none,kr,ip_a257d074144f9edc,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36",windows,48,65535,1460,"2,1,1,8,1,3",,linux,53.606,58.448,mismatch
38.841,soax,http_connect,us,ip_a257d074144f9edc,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0,windows,47,65535,1460,"2,1,1,8,1,3",,linux,94.246,62.819,mismatch
