t_rel,server,client_ip,gap_ms,tcp_rtt_ms,syn_ttl,syn_window,provider,protocol,country,session_mode,ua_string
0.000,us,ip_4a2db4cb6f455bee,187.884,35.968,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
3.924,us,ip_4a2db4cb6f455bee,151.834,30.444,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
7.678,us,ip_4a2db4cb6f455bee,147.167,29.855,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
11.473,us,ip_4a2db4cb6f455bee,145.608,32.101,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
15.007,us,ip_4a2db4cb6f455bee,128.289,6.439,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
19.036,us,ip_4a2db4cb6f455bee,143.934,32.047,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
22.940,us,ip_4a2db4cb6f455bee,114.835,26.724,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
27.471,us,ip_4a2db4cb6f455bee,129.49,35.292,50,65535,brightdata,http_connect,us,sticky,curl/8.5.0
31.404,us,ip_4a2db4cb6f455bee,345.417,22.22,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
35.943,us,ip_4a2db4cb6f455bee,117.391,9.671,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
73.020,us,ip_98f47bd178efdeb0,321.362,20.939,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
76.697,us,ip_98f47bd178efdeb0,375.358,23.703,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
80.474,us,ip_98f47bd178efdeb0,364.36,36.757,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
84.028,us,ip_98f47bd178efdeb0,345.998,4.816,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
87.573,us,ip_98f47bd178efdeb0,323.987,26.634,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
91.723,us,ip_98f47bd178efdeb0,361.89,6.475,50,65535,brightdata,http_connect,us,sticky,curl/8.5.0
95.275,us,ip_98f47bd178efdeb0,341.924,9.001,54,65535,brightdata,http_connect,us,sticky,curl/8.5.0
99.961,us,ip_127852b278f99436,242.062,1.558,55,42340,brightdata,http_connect,us,rotating,curl/8.5.0
105.186,us,ip_2fef979566df0850,271.475,60.322,51,65535,brightdata,http_connect,us,rotating,curl/8.5.0
109.071,us,ip_bc82386a2bf8d035,339.404,74.904,56,42340,brightdata,http_connect,us,rotating,curl/8.5.0
112.958,us,ip_7870488853f6c4cd,554.286,14.297,54,65535,brightdata,http_connect,us,rotating,curl/8.5.0
117.480,us,ip_2f280e044e970a38,248.719,25.949,53,65535,brightdata,http_connect,us,rotating,curl/8.5.0
120.003,us,ip_4082c72a83f1f024,36.997,18.961,118,64240,brightdata,http_connect,us,rotating,curl/8.5.0
123.189,us,ip_a8154bc0b0c66911,129.928,66.219,119,65535,brightdata,http_connect,us,rotating,curl/8.5.0
125.674,us,ip_e20337f57384252b,17.303,1.497,55,8192,brightdata,http_connect,us,rotating,curl/8.5.0
128.886,us,ip_7aa73ed401705556,259.188,22.281,55,65535,brightdata,http_connect,us,rotating,curl/8.5.0
132.372,us,ip_fe07826bc2edae8f,261.453,68.184,56,42340,brightdata,http_connect,us,rotating,curl/8.5.0
137.434,us,ip_559b2c60367da4ef,256.769,8.923,115,64240,brightdata,http_connect,us,rotating,curl/8.5.0
145.522,us,ip_a950eba4aef581b7,0.218,36.956,117,65535,brightdata,http_connect,us,rotating,curl/8.5.0
151.153,us,ip_a48656842c371b44,283.121,1.539,55,8192,brightdata,http_connect,us,rotating,curl/8.5.0
157.870,us,ip_b616b3e924692301,244.861,1.547,55,8192,brightdata,http_connect,us,rotating,curl/8.5.0
178.841,us,ip_185b2b5a10f30304,10417.67,3.32,55,65535,brightdata,http_connect,us,rotating,curl/8.5.0
182.694,us,ip_728bb7ff0fa37573,398.956,28.92,55,29200,brightdata,http_connect,us,rotating,curl/8.5.0
186.868,us,ip_e8a6747720d80066,554.098,8.32,47,64240,brightdata,http_connect,us,rotating,curl/8.5.0
203.736,us,ip_ad9cff693884bb16,9788.265,14.7,55,29200,brightdata,http_connect,us,rotating,curl/8.5.0
220.767,us,ip_22fcba886b46f2a2,560.432,5.479,55,65535,brightdata,http_connect,us,rotating,curl/8.5.0
225.866,us,ip_86aefb4afd57500e,247.669,9.546,115,64240,brightdata,http_connect,us,rotating,curl/8.5.0
229.303,us,ip_c5d08db5ce887057,36.493,52.048,48,65535,soax,http_connect,us,sticky,curl/8.5.0
231.755,us,ip_c5d08db5ce887057,48.474,46.649,52,65535,soax,http_connect,us,sticky,curl/8.5.0
236.613,us,ip_c5d08db5ce887057,56.159,42.921,52,65535,soax,http_connect,us,sticky,curl/8.5.0
239.139,us,ip_c5d08db5ce887057,56.543,39.721,53,65535,soax,http_connect,us,sticky,curl/8.5.0
241.666,us,ip_c5d08db5ce887057,69.067,39.948,52,65535,soax,http_connect,us,sticky,curl/8.5.0
244.086,us,ip_c5d08db5ce887057,46.924,49.853,53,65535,soax,http_connect,us,sticky,curl/8.5.0
246.519,us,ip_c5d08db5ce887057,54.174,39.794,53,65535,soax,http_connect,us,sticky,curl/8.5.0
248.963,us,ip_c5d08db5ce887057,56.211,38.118,53,65535,soax,http_connect,us,sticky,curl/8.5.0
251.365,us,ip_c5d08db5ce887057,55.472,40.624,52,65535,soax,http_connect,us,sticky,curl/8.5.0
253.774,us,ip_c5d08db5ce887057,56.284,38.085,53,65535,soax,http_connect,us,sticky,curl/8.5.0
256.208,us,ip_c5d08db5ce887057,45.972,47.987,53,65535,soax,http_connect,us,sticky,curl/8.5.0
258.697,us,ip_c5d08db5ce887057,50.095,38.208,53,65535,soax,http_connect,us,sticky,curl/8.5.0
261.112,us,ip_c5d08db5ce887057,59.926,40.675,53,65535,soax,http_connect,us,sticky,curl/8.5.0
263.603,us,ip_c5d08db5ce887057,60.366,35.969,52,65535,soax,http_connect,us,sticky,curl/8.5.0
268.445,us,ip_c5d08db5ce887057,54.452,57.008,53,65535,soax,http_connect,us,sticky,curl/8.5.0
270.860,us,ip_c5d08db5ce887057,54.995,36.783,49,65535,soax,http_connect,us,sticky,curl/8.5.0
273.314,us,ip_c5d08db5ce887057,55.191,39.988,52,65535,soax,http_connect,us,sticky,curl/8.5.0
275.713,us,ip_c5d08db5ce887057,53.851,51.962,52,65535,soax,http_connect,us,sticky,curl/8.5.0
278.124,us,ip_c5d08db5ce887057,69.715,50.195,53,65535,soax,http_connect,us,rotating,curl/8.5.0
285.426,us,ip_c5d08db5ce887057,48.881,43.7,52,65535,soax,http_connect,us,rotating,curl/8.5.0
287.876,us,ip_c5d08db5ce887057,61.819,41.491,52,65535,soax,http_connect,us,rotating,curl/8.5.0
290.284,us,ip_c5d08db5ce887057,48.725,47.951,53,65535,soax,http_connect,us,rotating,curl/8.5.0
292.692,us,ip_c5d08db5ce887057,46.496,46.753,53,65535,soax,http_connect,us,rotating,curl/8.5.0
295.089,us,ip_c5d08db5ce887057,54.933,48.671,52,65535,soax,http_connect,us,rotating,curl/8.5.0
297.529,us,ip_c5d08db5ce887057,51.35,49.179,53,65535,soax,http_connect,us,rotating,curl/8.5.0
299.987,us,ip_c5d08db5ce887057,47.956,48.272,53,65535,soax,http_connect,us,rotating,curl/8.5.0
302.404,us,ip_c5d08db5ce887057,61.397,39.927,49,65535,soax,http_connect,us,rotating,curl/8.5.0
304.844,us,ip_c5d08db5ce887057,46.523,49.514,52,65535,soax,http_connect,us,rotating,curl/8.5.0
307.266,us,ip_c5d08db5ce887057,55.696,37.922,52,65535,soax,http_connect,us,rotating,curl/8.5.0
309.703,us,ip_c5d08db5ce887057,54.702,39.883,53,65535,soax,http_connect,us,rotating,curl/8.5.0
312.127,us,ip_c5d08db5ce887057,47.127,47.835,53,65535,soax,http_connect,us,rotating,curl/8.5.0
314.535,us,ip_c5d08db5ce887057,47.156,50.261,53,65535,soax,http_connect,us,rotating,curl/8.5.0
316.998,us,ip_c5d08db5ce887057,59.517,28.389,53,65535,soax,http_connect,us,rotating,curl/8.5.0
319.474,us,ip_c5d08db5ce887057,46.041,48.729,53,65535,soax,http_connect,us,rotating,curl/8.5.0
321.873,us,ip_c5d08db5ce887057,61.767,38.395,53,65535,soax,http_connect,us,rotating,curl/8.5.0
324.275,us,ip_c5d08db5ce887057,53.819,40.014,52,65535,soax,http_connect,us,rotating,curl/8.5.0
326.999,us,ip_c5d08db5ce887057,110.938,40.167,52,65535,iproyal,http_connect,us,sticky,curl/8.5.0
329.603,us,ip_c5d08db5ce887057,46.109,50.355,53,65535,iproyal,http_connect,us,sticky,curl/8.5.0
332.234,us,ip_c5d08db5ce887057,53.548,38.265,53,65535,iproyal,http_connect,us,sticky,curl/8.5.0
334.873,us,ip_faaeb2f42fb9eee5,44.231,20.113,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
337.686,us,ip_faaeb2f42fb9eee5,34.151,20.983,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
340.665,us,ip_faaeb2f42fb9eee5,35.722,20.071,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
343.084,us,ip_faaeb2f42fb9eee5,42.048,20.94,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
345.749,us,ip_faaeb2f42fb9eee5,57.751,20.96,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
348.329,us,ip_faaeb2f42fb9eee5,60.318,17.346,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
350.894,us,ip_faaeb2f42fb9eee5,40.069,20.933,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
353.222,us,ip_faaeb2f42fb9eee5,32.796,20.04,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
355.777,us,ip_faaeb2f42fb9eee5,31.199,20.885,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
358.118,us,ip_faaeb2f42fb9eee5,27.714,19.996,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
360.710,us,ip_faaeb2f42fb9eee5,38.154,18.325,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
363.041,us,ip_faaeb2f42fb9eee5,27.609,18.32,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
365.592,us,ip_faaeb2f42fb9eee5,38.677,20.885,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
367.914,us,ip_faaeb2f42fb9eee5,45.824,20.778,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
370.311,us,ip_faaeb2f42fb9eee5,37.857,20.015,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
372.623,us,ip_faaeb2f42fb9eee5,28.129,20.871,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
374.919,us,ip_faaeb2f42fb9eee5,28.338,20.672,54,42340,iproyal,http_connect,us,sticky,curl/8.5.0
377.516,us,ip_faaeb2f42fb9eee5,42.253,20.757,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
379.841,us,ip_faaeb2f42fb9eee5,30.794,20.35,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
382.174,us,ip_faaeb2f42fb9eee5,27.79,20.035,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
386.805,us,ip_c8a522ca70c7f399,38.038,20.029,50,42340,iproyal,http_connect,us,rotating,curl/8.5.0
389.133,us,ip_c8a522ca70c7f399,34.878,20.003,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
391.468,us,ip_c8a522ca70c7f399,28.169,20.128,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
394.522,us,ip_c8a522ca70c7f399,27.352,20.959,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
396.938,us,ip_c8a522ca70c7f399,25.755,20.931,50,42340,iproyal,http_connect,us,rotating,curl/8.5.0
401.597,us,ip_c8a522ca70c7f399,104.562,20.016,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
403.954,us,ip_c8a522ca70c7f399,38.794,20.205,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
406.276,us,ip_c8a522ca70c7f399,32.106,17.303,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
408.592,us,ip_c8a522ca70c7f399,38.599,17.356,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
410.905,us,ip_c8a522ca70c7f399,41.024,19.879,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
413.210,us,ip_c8a522ca70c7f399,30.838,19.534,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
415.548,us,ip_c8a522ca70c7f399,29.684,20.805,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
418.006,us,ip_c8a522ca70c7f399,29.61,19.835,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
420.344,us,ip_c8a522ca70c7f399,27.355,20.228,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
422.845,us,ip_c8a522ca70c7f399,37.267,20.143,54,42340,iproyal,http_connect,us,rotating,curl/8.5.0
429.727,us,ip_c8a522ca70c7f399,28.31,20.862,54,42340,netnut,http_connect,us,sticky,curl/8.5.0
446.457,us,ip_810dace4d4ba0e62,21.488,64.293,53,65535,netnut,http_connect,us,sticky,curl/8.5.0
453.788,us,ip_e8d80f0a113bf5e9,30.636,49.903,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
465.086,us,ip_9ebb371a8e6f8f1c,107.374,88.985,50,65535,netnut,http_connect,us,sticky,curl/8.5.0
472.679,us,ip_e8d80f0a113bf5e9,38.771,58.959,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
481.027,us,ip_9ebb371a8e6f8f1c,99.356,95.101,50,65535,netnut,http_connect,us,sticky,curl/8.5.0
488.102,us,ip_e8d80f0a113bf5e9,36.356,54.123,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
497.185,us,ip_9ebb371a8e6f8f1c,105.968,93.099,50,65535,netnut,http_connect,us,sticky,curl/8.5.0
505.726,us,ip_9ebb371a8e6f8f1c,106.623,96.123,50,65535,netnut,http_connect,us,sticky,curl/8.5.0
512.402,us,ip_e8d80f0a113bf5e9,33.637,50.163,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
530.960,us,ip_e8d80f0a113bf5e9,301.018,233.756,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
539.107,us,ip_9ebb371a8e6f8f1c,97.155,96.095,50,65535,netnut,http_connect,us,sticky,curl/8.5.0
543.871,us,ip_e8d80f0a113bf5e9,31.938,74.02,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
549.407,us,ip_e8d80f0a113bf5e9,127.972,189.792,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
554.900,us,ip_e8d80f0a113bf5e9,44.148,56.611,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
568.046,us,ip_e8d80f0a113bf5e9,34.112,45.995,54,65535,netnut,http_connect,us,sticky,curl/8.5.0
580.996,us,ip_9ebb371a8e6f8f1c,99.635,94.042,50,65535,netnut,http_connect,us,sticky,curl/8.5.0
594.005,us,ip_9ebb371a8e6f8f1c,97.407,91.992,50,65535,netnut,http_connect,us,sticky,curl/8.5.0
604.044,us,ip_2c2866ddfd0204d4,225.195,225.021,49,65535,netnut,http_connect,us,sticky,curl/8.5.0
606.484,us,ip_ff766e0cf7486869,60.983,31.962,55,65535,netnut,http_connect,us,rotating,curl/8.5.0
608.993,us,ip_4675b42c6462e60d,54.363,21.244,57,65535,netnut,http_connect,us,rotating,curl/8.5.0
611.548,us,ip_b091dff363425235,77.481,43.984,54,65535,netnut,http_connect,us,rotating,curl/8.5.0
614.485,us,ip_2812d73535604280,128.914,73.348,53,65535,netnut,http_connect,us,rotating,curl/8.5.0
618.032,us,ip_8945f1c17cf035f3,397.73,61.499,51,65535,netnut,http_connect,us,rotating,curl/8.5.0
620.827,us,ip_70201c73923bbc10,49.537,50.956,55,65535,netnut,http_connect,us,rotating,curl/8.5.0
623.317,us,ip_fb59be94a5cbe003,60.277,20.118,118,65535,netnut,http_connect,us,rotating,curl/8.5.0
625.987,us,ip_04a884a50ed6c60b,78.649,46.965,54,65535,netnut,http_connect,us,rotating,curl/8.5.0
629.050,us,ip_3fe1415bab4fe28c,199.315,46.641,45,65535,netnut,http_connect,us,rotating,curl/8.5.0
632.061,us,ip_a6798dd8e1bb943d,164.564,40.383,47,65535,netnut,http_connect,us,rotating,curl/8.5.0
634.792,us,ip_f5c738910f92888d,113.658,47.945,54,65535,netnut,http_connect,us,rotating,curl/8.5.0
637.385,us,ip_44289b96cbe2e810,141.508,27.945,118,64240,netnut,http_connect,us,rotating,curl/8.5.0
640.299,us,ip_dbcf9e101813b481,168.45,33.047,52,65535,netnut,http_connect,us,rotating,curl/8.5.0
643.159,us,ip_4d0a451c37101171,178.737,29.032,53,65535,netnut,http_connect,us,rotating,curl/8.5.0
645.759,us,ip_1dd7f64b8092b1dc,12.183,44.022,51,65535,netnut,http_connect,us,rotating,curl/8.5.0
648.258,us,ip_f03f7d346db8a8f5,83.773,12.208,55,65535,netnut,http_connect,us,rotating,curl/8.5.0
650.970,us,ip_aaee67672e1ca909,64.411,33.185,53,65535,netnut,http_connect,us,rotating,curl/8.5.0
653.939,us,ip_336f668d6fa64d66,164.097,81.365,113,65535,netnut,http_connect,us,rotating,curl/8.5.0
661.051,us,ip_07a8206023c955bc,34.144,55.801,53,65535,netnut,http_connect,us,rotating,curl/8.5.0
663.601,us,ip_bd628c6de58b59f5,89.238,32.761,54,65535,netnut,http_connect,us,rotating,curl/8.5.0
