t_rel,server,client_ip,gap_ms,tcp_rtt_ms,syn_ttl,syn_window,provider,protocol,country,ua_string
0.000,us,ip_2001e69b1864d72d,28.069,7.01,56,64240,brightdata,http_connect,us,curl/8.5.0
3.341,us,ip_496c270703b2089d,61.018,3.603,55,65535,brightdata,http_connect,us,curl/8.5.0
6.335,us,ip_ee096919eb20c9f2,15.168,1.536,55,42340,brightdata,http_connect,us,curl/8.5.0
11.409,us,ip_54fb0f43dbcef94a,118.264,86.465,53,64240,brightdata,http_connect,us,curl/8.5.0
14.582,us,ip_7fe9f4e25910bffe,76.223,35.956,116,65535,brightdata,http_connect,us,curl/8.5.0
17.869,us,ip_95d9c188d1d2174d,47.279,1.432,55,8192,brightdata,http_connect,us,curl/8.5.0
22.343,us,ip_629591f78dbb302e,150.554,23.281,55,65535,brightdata,http_connect,us,curl/8.5.0
26.696,us,ip_ee023796237375dd,216.835,197.348,47,29200,brightdata,http_connect,us,curl/8.5.0
29.778,us,ip_66e1871307fa9beb,33.291,1.472,55,42340,brightdata,http_connect,us,curl/8.5.0
34.420,us,ip_2c19988ce826ad3b,193.664,1.73,55,42340,brightdata,http_connect,us,curl/8.5.0
38.399,us,ip_f9e2027f799ed002,58.961,3.931,55,65535,brightdata,http_connect,us,curl/8.5.0
44.863,us,ip_fac052f115ea1225,135.907,88.996,48,64240,brightdata,http_connect,us,curl/8.5.0
48.853,us,ip_fe228d999fe07924,588.869,1.379,55,8192,brightdata,http_connect,us,curl/8.5.0
51.856,us,ip_21bad0492b70cbb6,21.031,1.774,54,65535,brightdata,http_connect,us,curl/8.5.0
55.819,us,ip_65ec29c201be6136,130.136,1.459,55,42340,brightdata,http_connect,us,curl/8.5.0
63.711,us,ip_f5140c97a89ef6d3,243.215,1.496,54,65535,brightdata,http_connect,us,curl/8.5.0
67.276,us,ip_d8d061e5545f2e2d,306.054,34.957,49,65535,brightdata,http_connect,us,curl/8.5.0
71.826,us,ip_48788e572330fd6f,17.217,1.439,55,8192,brightdata,http_connect,us,curl/8.5.0
77.704,us,ip_e086009fb9df648a,115.598,10.462,55,65535,brightdata,http_connect,us,curl/8.5.0
81.817,us,ip_eff6ba4552ba78e8,235.624,1.451,55,42340,brightdata,http_connect,us,curl/8.5.0
86.970,us,ip_b04b89e0fd035467,205.834,48.207,55,65535,brightdata,http_connect,us,curl/8.5.0
90.555,us,ip_83ef1833d3db2374,165.31,1.523,55,42340,brightdata,http_connect,us,curl/8.5.0
95.692,us,ip_a9b200ebebafb671,124.158,79.102,49,32120,brightdata,http_connect,us,curl/8.5.0
98.574,us,ip_1195c6070d47b161,522.981,6.943,54,65535,brightdata,http_connect,us,curl/8.5.0
102.242,us,ip_dd8ee487fd3ed733,31.099,1.484,55,8192,brightdata,http_connect,us,curl/8.5.0
