t_rel,traffic_type,vpn_location,gap_ms,tcp_rtt_ms,syn_ttl,client_ip
0.000,vpn_direct_n100,direct,4.117,145.245,57,ip_21002c9d6bbe4316
1.473,vpn_direct_n100,direct,3.367,146.537,55,ip_21002c9d6bbe4316
2.944,vpn_direct_n100,direct,2.31,147.032,53,ip_21002c9d6bbe4316
4.425,vpn_direct_n100,direct,2.316,150.022,57,ip_21002c9d6bbe4316
5.902,vpn_direct_n100,direct,2.264,149.846,57,ip_21002c9d6bbe4316
7.361,vpn_direct_n100,direct,2.308,140.94,57,ip_21002c9d6bbe4316
8.836,vpn_direct_n100,direct,2.991,148.833,57,ip_21002c9d6bbe4316
10.319,vpn_direct_n100,direct,2.339,152.179,57,ip_21002c9d6bbe4316
11.796,vpn_direct_n100,direct,2.361,148.225,57,ip_21002c9d6bbe4316
13.271,vpn_direct_n100,direct,2.394,147.225,57,ip_21002c9d6bbe4316
14.738,vpn_direct_n100,direct,2.36,147.235,57,ip_21002c9d6bbe4316
16.220,vpn_direct_n100,direct,2.351,151.217,57,ip_21002c9d6bbe4316
17.688,vpn_direct_n100,direct,2.509,144.001,57,ip_21002c9d6bbe4316
19.152,vpn_direct_n100,direct,2.926,146.258,57,ip_21002c9d6bbe4316
20.637,vpn_direct_n100,direct,2.381,153.364,57,ip_21002c9d6bbe4316
22.111,vpn_direct_n100,direct,2.292,147.885,53,ip_21002c9d6bbe4316
23.589,vpn_direct_n100,direct,2.325,150.38,57,ip_21002c9d6bbe4316
25.064,vpn_direct_n100,direct,2.912,145.724,57,ip_21002c9d6bbe4316
26.545,vpn_direct_n100,direct,3.422,149.852,57,ip_21002c9d6bbe4316
28.344,vpn_direct_n100,direct,21.953,148.41,57,ip_21002c9d6bbe4316
29.859,vpn_direct_n100,direct,4.778,145.972,57,ip_21002c9d6bbe4316
31.322,vpn_direct_n100,direct,2.677,142.895,57,ip_21002c9d6bbe4316
32.810,vpn_direct_n100,direct,2.368,152.989,57,ip_21002c9d6bbe4316
34.283,vpn_direct_n100,direct,2.711,146.108,57,ip_21002c9d6bbe4316
35.755,vpn_direct_n100,direct,2.464,148.757,57,ip_21002c9d6bbe4316
37.229,vpn_direct_n100,direct,2.339,147.731,57,ip_21002c9d6bbe4316
38.711,vpn_direct_n100,direct,4.237,148.811,57,ip_21002c9d6bbe4316
40.174,vpn_direct_n100,direct,2.323,144.795,53,ip_21002c9d6bbe4316
41.639,vpn_direct_n100,direct,3.42,143.757,53,ip_21002c9d6bbe4316
43.104,vpn_direct_n100,direct,2.444,145.65,57,ip_21002c9d6bbe4316
44.563,vpn_direct_n100,direct,2.372,143.775,57,ip_21002c9d6bbe4316
46.047,vpn_direct_n100,direct,2.285,152.547,57,ip_21002c9d6bbe4316
47.517,vpn_direct_n100,direct,2.37,146.149,57,ip_21002c9d6bbe4316
49.001,vpn_direct_n100,direct,6.578,245.688,45,ip_7ebea239ed87ef4c
50.469,vpn_direct_n100,direct,2.372,153.458,57,ip_21002c9d6bbe4316
51.933,vpn_direct_n100,direct,2.31,146.164,53,ip_21002c9d6bbe4316
53.400,vpn_direct_n100,direct,2.244,143.747,53,ip_21002c9d6bbe4316
54.871,vpn_direct_n100,direct,2.317,146.547,57,ip_21002c9d6bbe4316
56.354,vpn_direct_n100,direct,2.379,148.997,57,ip_21002c9d6bbe4316
