# gap_ms cdf
0.0 0.003876
0.0 0.007752
0.0 0.011628
0.0 0.015504
0.0 0.019380
0.0 0.023256
0.0 0.027132
0.0 0.031008
0.0 0.034884
0.001 0.038760
0.027 0.042636
0.031 0.046512
0.035 0.050388
0.036 0.054264
0.038 0.058140
0.038 0.062016
0.039 0.065891
0.04 0.069767
0.041 0.073643
0.041 0.077519
0.041 0.081395
0.041 0.085271
0.042 0.089147
0.043 0.093023
0.044 0.096899
0.044 0.100775
0.044 0.104651
0.045 0.108527
0.045 0.112403
0.045 0.116279
0.045 0.120155
0.046 0.124031
0.046 0.127907
0.046 0.131783
0.046 0.135659
0.046 0.139535
0.046 0.143411
0.047 0.147287
0.047 0.151163
0.047 0.155039
0.047 0.158915
0.047 0.162791
0.047 0.166667
0.048 0.170543
0.048 0.174419
0.048 0.178295
0.048 0.182171
0.048 0.186047
0.049 0.189922
0.049 0.193798
0.049 0.197674
0.049 0.201550
0.05 0.205426
0.05 0.209302
0.051 0.213178
0.052 0.217054
0.052 0.220930
0.052 0.224806
0.054 0.228682
0.055 0.232558
0.055 0.236434
0.055 0.240310
0.057 0.244186
0.059 0.248062
0.061 0.251938
0.062 0.255814
0.063 0.259690
0.064 0.263566
0.064 0.267442
0.065 0.271318
0.066 0.275194
0.066 0.279070
0.066 0.282946
0.067 0.286822
0.068 0.290698
0.069 0.294574
0.069 0.298450
0.07 0.302326
0.07 0.306202
0.07 0.310078
0.071 0.313953
0.071 0.317829
0.072 0.321705
0.072 0.325581
0.072 0.329457
0.074 0.333333
0.074 0.337209
0.075 0.341085
0.075 0.344961
0.075 0.348837
0.076 0.352713
0.076 0.356589
0.076 0.360465
0.077 0.364341
0.077 0.368217
0.078 0.372093
0.079 0.375969
0.081 0.379845
0.082 0.383721
0.082 0.387597
0.083 0.391473
0.085 0.395349
0.086 0.399225
0.086 0.403101
0.087 0.406977
0.089 0.410853
0.09 0.414729
0.09 0.418605
0.09 0.422481
0.091 0.426357
0.091 0.430233
0.091 0.434109
0.091 0.437984
0.091 0.441860
0.094 0.445736
0.094 0.449612
0.096 0.453488
0.096 0.457364
0.096 0.461240
0.097 0.465116
0.098 0.468992
0.098 0.472868
0.099 0.476744
0.099 0.480620
0.101 0.484496
0.101 0.488372
0.102 0.492248
0.103 0.496124
0.104 0.500000
0.105 0.503876
0.105 0.507752
0.105 0.511628
0.107 0.515504
0.107 0.519380
0.11 0.523256
0.111 0.527132
0.113 0.531008
0.113 0.534884
0.115 0.538760
0.115 0.542636
0.115 0.546512
0.116 0.550388
0.116 0.554264
0.117 0.558140
0.117 0.562016
0.12 0.565891
0.12 0.569767
0.122 0.573643
0.122 0.577519
0.123 0.581395
0.123 0.585271
0.126 0.589147
0.126 0.593023
0.128 0.596899
0.134 0.600775
0.136 0.604651
0.136 0.608527
0.138 0.612403
0.14 0.616279
0.14 0.620155
0.141 0.624031
0.141 0.627907
0.149 0.631783
0.149 0.635659
0.15 0.639535
0.15 0.643411
0.151 0.647287
0.152 0.651163
0.153 0.655039
0.153 0.658915
0.157 0.662791
0.159 0.666667
0.16 0.670543
0.16 0.674419
0.162 0.678295
0.163 0.682171
0.163 0.686047
0.165 0.689922
0.172 0.693798
0.176 0.697674
0.178 0.701550
0.182 0.705426
0.184 0.709302
0.186 0.713178
0.186 0.717054
0.188 0.720930
0.189 0.724806
0.191 0.728682
0.192 0.732558
0.192 0.736434
0.192 0.740310
0.192 0.744186
0.193 0.748062
0.193 0.751938
0.194 0.755814
0.195 0.759690
0.195 0.763566
0.196 0.767442
0.203 0.771318
0.204 0.775194
0.211 0.779070
0.215 0.782946
0.215 0.786822
0.216 0.790698
0.218 0.794574
0.218 0.798450
0.221 0.802326
0.222 0.806202
0.224 0.810078
0.226 0.813953
0.226 0.817829
0.232 0.821705
0.239 0.825581
0.24 0.829457
0.242 0.833333
0.245 0.837209
0.256 0.841085
0.264 0.844961
0.266 0.848837
0.267 0.852713
0.27 0.856589
0.271 0.860465
0.272 0.864341
0.272 0.868217
0.273 0.872093
0.283 0.875969
0.285 0.879845
0.293 0.883721
0.296 0.887597
0.302 0.891473
0.303 0.895349
0.304 0.899225
0.308 0.903101
0.309 0.906977
0.32 0.910853
0.326 0.914729
0.329 0.918605
0.339 0.922481
0.34 0.926357
0.345 0.930233
0.358 0.934109
0.378 0.937984
0.403 0.941860
0.404 0.945736
0.409 0.949612
0.42 0.953488
0.463 0.957364
0.472 0.961240
0.477 0.965116
0.501 0.968992
0.504 0.972868
0.56 0.976744
0.59 0.980620
0.678 0.984496
0.681 0.988372
0.737 0.992248
0.999 0.996124
1.353 1.000000
