# gap_ms cdf
0.0 0.008547
0.0 0.017094
0.0 0.025641
0.0 0.034188
0.0 0.042735
0.0 0.051282
0.0 0.059829
0.0 0.068376
0.0 0.076923
0.017 0.085470
0.019 0.094017
0.02 0.102564
0.022 0.111111
0.028 0.119658
0.028 0.128205
0.034 0.136752
0.034 0.145299
0.035 0.153846
0.035 0.162393
0.04 0.170940
0.044 0.179487
0.052 0.188034
0.053 0.196581
0.06 0.205128
0.066 0.213675
0.07 0.222222
0.074 0.230769
0.096 0.239316
0.11 0.247863
0.112 0.256410
0.121 0.264957
0.164 0.273504
0.166 0.282051
0.177 0.290598
0.189 0.299145
0.193 0.307692
0.197 0.316239
0.221 0.324786
0.224 0.333333
0.242 0.341880
0.249 0.350427
0.255 0.358974
0.257 0.367521
0.26 0.376068
0.289 0.384615
0.292 0.393162
0.297 0.401709
0.305 0.410256
0.324 0.418803
0.36 0.427350
0.368 0.435897
0.395 0.444444
0.407 0.452991
0.407 0.461538
0.414 0.470085
0.431 0.478632
0.433 0.487179
0.434 0.495726
0.445 0.504274
0.448 0.512821
0.485 0.521368
0.503 0.529915
0.512 0.538462
0.513 0.547009
0.56 0.555556
0.565 0.564103
0.571 0.572650
0.589 0.581197
0.6 0.589744
0.602 0.598291
0.624 0.606838
0.625 0.615385
0.63 0.623932
0.631 0.632479
0.666 0.641026
0.673 0.649573
0.676 0.658120
0.676 0.666667
0.678 0.675214
0.708 0.683761
0.713 0.692308
0.728 0.700855
0.736 0.709402
0.737 0.717949
0.781 0.726496
0.835 0.735043
0.838 0.743590
0.864 0.752137
0.866 0.760684
0.87 0.769231
0.904 0.777778
1.009 0.786325
1.018 0.794872
1.032 0.803419
1.098 0.811966
1.131 0.820513
1.542 0.829060
1.737 0.837607
2.003 0.846154
2.067 0.854701
2.441 0.863248
2.469 0.871795
2.477 0.880342
2.491 0.888889
2.518 0.897436
2.533 0.905983
2.553 0.914530
2.845 0.923077
3.023 0.931624
3.059 0.940171
3.541 0.948718
3.586 0.957265
3.959 0.965812
4.906 0.974359
5.912 0.982906
14.822 0.991453
70.416 1.000000
