# gap_ms cdf
0.0 0.002994
0.0 0.005988
0.0 0.008982
0.0 0.011976
0.027 0.014970
0.035 0.017964
0.036 0.020958
0.038 0.023952
0.04 0.026946
0.041 0.029940
0.042 0.032934
0.044 0.035928
0.044 0.038922
0.045 0.041916
0.045 0.044910
0.046 0.047904
0.046 0.050898
0.047 0.053892
0.047 0.056886
0.047 0.059880
0.048 0.062874
0.049 0.065868
0.049 0.068862
0.05 0.071856
0.052 0.074850
0.055 0.077844
0.055 0.080838
0.059 0.083832
0.059 0.086826
0.061 0.089820
0.063 0.092814
0.064 0.095808
0.066 0.098802
0.066 0.101796
0.066 0.104790
0.069 0.107784
0.069 0.110778
0.075 0.113772
0.075 0.116766
0.076 0.119760
0.077 0.122754
0.081 0.125749
0.082 0.128743
0.085 0.131737
0.086 0.134731
0.09 0.137725
0.091 0.140719
0.091 0.143713
0.094 0.146707
0.098 0.149701
0.099 0.152695
0.101 0.155689
0.103 0.158683
0.107 0.161677
0.107 0.164671
0.113 0.167665
0.113 0.170659
0.115 0.173653
0.116 0.176647
0.12 0.179641
0.124 0.182635
0.134 0.185629
0.136 0.188623
0.136 0.191617
0.137 0.194611
0.138 0.197605
0.138 0.200599
0.14 0.203593
0.14 0.206587
0.14 0.209581
0.141 0.212575
0.144 0.215569
0.144 0.218563
0.149 0.221557
0.149 0.224551
0.149 0.227545
0.15 0.230539
0.151 0.233533
0.151 0.236527
0.153 0.239521
0.153 0.242515
0.154 0.245509
0.156 0.248503
0.157 0.251497
0.162 0.254491
0.178 0.257485
0.184 0.260479
0.188 0.263473
0.189 0.266467
0.191 0.269461
0.192 0.272455
0.194 0.275449
0.195 0.278443
0.195 0.281437
0.196 0.284431
0.204 0.287425
0.211 0.290419
0.213 0.293413
0.215 0.296407
0.215 0.299401
0.218 0.302395
0.226 0.305389
0.23 0.308383
0.23 0.311377
0.245 0.314371
0.245 0.317365
0.256 0.320359
0.262 0.323353
0.267 0.326347
0.272 0.329341
0.283 0.332335
0.285 0.335329
0.302 0.338323
0.303 0.341317
0.304 0.344311
0.312 0.347305
0.318 0.350299
0.326 0.353293
0.34 0.356287
0.353 0.359281
0.358 0.362275
0.404 0.365269
0.409 0.368263
0.472 0.371257
0.477 0.374251
0.501 0.377246
0.504 0.380240
0.678 0.383234
0.681 0.386228
0.684 0.389222
0.777 0.392216
0.957 0.395210
1.253 0.398204
1.538 0.401198
4.569 0.404192
5.929 0.407186
10.477 0.410180
10.977 0.413174
11.333 0.416168
13.869 0.419162
14.039 0.422156
22.666 0.425150
32.038 0.428144
32.536 0.431138
42.872 0.434132
52.228 0.437126
60.244 0.440120
60.509 0.443114
87.104 0.446108
88.204 0.449102
94.419 0.452096
94.697 0.455090
95.183 0.458084
98.823 0.461078
99.425 0.464072
99.815 0.467066
102.739 0.470060
104.768 0.473054
105.334 0.476048
106.342 0.479042
106.764 0.482036
108.021 0.485030
108.162 0.488024
108.991 0.491018
109.233 0.494012
110.631 0.497006
110.745 0.500000
112.036 0.502994
112.421 0.505988
112.851 0.508982
115.545 0.511976
117.579 0.514970
118.878 0.517964
120.493 0.520958
121.053 0.523952
124.535 0.526946
124.649 0.529940
125.435 0.532934
125.583 0.535928
128.911 0.538922
131.533 0.541916
131.743 0.544910
131.822 0.547904
132.089 0.550898
133.497 0.553892
134.455 0.556886
135.025 0.559880
135.35 0.562874
135.437 0.565868
137.739 0.568862
137.836 0.571856
138.912 0.574850
140.003 0.577844
141.079 0.580838
143.794 0.583832
145.147 0.586826
147.253 0.589820
147.286 0.592814
147.875 0.595808
147.878 0.598802
148.121 0.601796
148.458 0.604790
150.336 0.607784
154.014 0.610778
155.815 0.613772
157.833 0.616766
161.043 0.619760
161.822 0.622754
161.899 0.625749
162.331 0.628743
162.824 0.631737
167.72 0.634731
168.42 0.637725
177.659 0.640719
177.776 0.643713
182.261 0.646707
185.702 0.649701
189.959 0.652695
190.068 0.655689
191.478 0.658683
191.644 0.661677
192.057 0.664671
194.218 0.667665
199.42 0.670659
204.76 0.673653
205.947 0.676647
209.493 0.679641
211.017 0.682635
212.027 0.685629
213.594 0.688623
214.508 0.691617
216.622 0.694611
217.725 0.697605
219.676 0.700599
222.427 0.703593
225.693 0.706587
227.127 0.709581
228.928 0.712575
231.058 0.715569
231.143 0.718563
233.824 0.721557
234.393 0.724551
234.893 0.727545
235.561 0.730539
237.114 0.733533
238.633 0.736527
242.971 0.739521
245.078 0.742515
245.286 0.745509
246.216 0.748503
246.485 0.751497
246.56 0.754491
246.562 0.757485
248.247 0.760479
248.646 0.763473
249.181 0.766467
250.464 0.769461
250.625 0.772455
252.616 0.775449
252.855 0.778443
253.288 0.781437
254.051 0.784431
254.38 0.787425
254.917 0.790419
255.255 0.793413
255.417 0.796407
255.455 0.799401
256.13 0.802395
257.356 0.805389
257.907 0.808383
257.989 0.811377
259.591 0.814371
260.087 0.817365
260.38 0.820359
263.566 0.823353
265.117 0.826347
268.273 0.829341
268.418 0.832335
272.098 0.835329
273.077 0.838323
277.956 0.841317
278.613 0.844311
281.107 0.847305
283.791 0.850299
284.716 0.853293
285.393 0.856287
286.842 0.859281
287.45 0.862275
287.658 0.865269
288.88 0.868263
289.627 0.871257
290.917 0.874251
293.254 0.877246
293.347 0.880240
296.805 0.883234
297.589 0.886228
299.196 0.889222
300.281 0.892216
303.939 0.895210
305.182 0.898204
307.477 0.901198
307.824 0.904192
309.47 0.907186
312.549 0.910180
314.752 0.913174
318.39 0.916168
320.982 0.919162
321.38 0.922156
324.845 0.925150
325.875 0.928144
327.74 0.931138
328.611 0.934132
330.663 0.937126
346.116 0.940120
356.014 0.943114
360.213 0.946108
374.658 0.949102
379.084 0.952096
382.426 0.955090
389.504 0.958084
400.066 0.961078
409.542 0.964072
420.672 0.967066
422.754 0.970060
431.78 0.973054
475.02 0.976048
489.445 0.979042
514.484 0.982036
566.085 0.985030
840.989 0.988024
873.448 0.991018
897.286 0.994012
1223.507 0.997006
2730.288 1.000000
