# gap_ms cdf
0.042 0.004386
0.044 0.008772
0.049 0.013158
0.059 0.017544
0.061 0.021930
0.064 0.026316
0.066 0.030702
0.069 0.035088
0.075 0.039474
0.099 0.043860
0.103 0.048246
0.107 0.052632
0.124 0.057018
0.138 0.061404
0.144 0.065789
0.149 0.070175
0.154 0.074561
0.156 0.078947
0.213 0.083333
0.23 0.087719
0.23 0.092105
0.245 0.096491
0.262 0.100877
0.303 0.105263
0.304 0.109649
0.318 0.114035
0.353 0.118421
0.684 0.122807
0.777 0.127193
0.957 0.131579
1.538 0.135965
10.477 0.140351
10.977 0.144737
11.333 0.149123
13.869 0.153509
14.039 0.157895
22.666 0.162281
32.038 0.166667
32.536 0.171053
52.228 0.175439
60.244 0.179825
60.509 0.184211
87.104 0.188596
88.204 0.192982
94.419 0.197368
94.697 0.201754
95.183 0.206140
98.823 0.210526
99.425 0.214912
99.815 0.219298
102.739 0.223684
104.768 0.228070
105.334 0.232456
106.342 0.236842
106.764 0.241228
108.021 0.245614
108.162 0.250000
108.991 0.254386
109.233 0.258772
110.631 0.263158
110.745 0.267544
112.036 0.271930
112.421 0.276316
112.851 0.280702
115.545 0.285088
117.579 0.289474
118.878 0.293860
120.493 0.298246
121.053 0.302632
124.535 0.307018
124.649 0.311404
125.435 0.315789
125.583 0.320175
128.911 0.324561
131.533 0.328947
131.743 0.333333
131.822 0.337719
132.089 0.342105
133.497 0.346491
134.455 0.350877
135.025 0.355263
135.35 0.359649
135.437 0.364035
137.739 0.368421
137.836 0.372807
138.912 0.377193
140.003 0.381579
141.079 0.385965
143.794 0.390351
145.147 0.394737
147.253 0.399123
147.286 0.403509
147.875 0.407895
147.878 0.412281
148.121 0.416667
148.458 0.421053
150.336 0.425439
154.014 0.429825
155.815 0.434211
157.833 0.438596
161.043 0.442982
161.822 0.447368
161.899 0.451754
162.331 0.456140
162.824 0.460526
167.72 0.464912
168.42 0.469298
177.659 0.473684
177.776 0.478070
182.261 0.482456
185.702 0.486842
189.959 0.491228
190.068 0.495614
191.478 0.500000
191.644 0.504386
192.057 0.508772
194.218 0.513158
199.42 0.517544
204.76 0.521930
205.947 0.526316
209.493 0.530702
211.017 0.535088
212.027 0.539474
213.594 0.543860
214.508 0.548246
216.622 0.552632
217.725 0.557018
219.676 0.561404
222.427 0.565789
225.693 0.570175
227.127 0.574561
228.928 0.578947
231.058 0.583333
231.143 0.587719
233.824 0.592105
234.393 0.596491
234.893 0.600877
235.561 0.605263
237.114 0.609649
238.633 0.614035
242.971 0.618421
245.078 0.622807
245.286 0.627193
246.216 0.631579
246.485 0.635965
246.56 0.640351
246.562 0.644737
248.247 0.649123
248.646 0.653509
249.181 0.657895
250.464 0.662281
250.625 0.666667
252.616 0.671053
252.855 0.675439
253.288 0.679825
254.051 0.684211
254.38 0.688596
254.917 0.692982
255.255 0.697368
255.417 0.701754
255.455 0.706140
256.13 0.710526
257.356 0.714912
257.907 0.719298
257.989 0.723684
259.591 0.728070
260.087 0.732456
260.38 0.736842
263.566 0.741228
265.117 0.745614
268.273 0.750000
268.418 0.754386
272.098 0.758772
273.077 0.763158
277.956 0.767544
278.613 0.771930
281.107 0.776316
283.791 0.780702
284.716 0.785088
285.393 0.789474
286.842 0.793860
287.45 0.798246
287.658 0.802632
288.88 0.807018
289.627 0.811404
290.917 0.815789
293.254 0.820175
293.347 0.824561
296.805 0.828947
297.589 0.833333
299.196 0.837719
300.281 0.842105
303.939 0.846491
305.182 0.850877
307.477 0.855263
307.824 0.859649
309.47 0.864035
312.549 0.868421
314.752 0.872807
318.39 0.877193
320.982 0.881579
321.38 0.885965
324.845 0.890351
325.875 0.894737
327.74 0.899123
328.611 0.903509
330.663 0.907895
346.116 0.912281
356.014 0.916667
360.213 0.921053
374.658 0.925439
379.084 0.929825
382.426 0.934211
389.504 0.938596
400.066 0.942982
409.542 0.947368
420.672 0.951754
422.754 0.956140
431.78 0.960526
475.02 0.964912
489.445 0.969298
514.484 0.973684
566.085 0.978070
840.989 0.982456
873.448 0.986842
897.286 0.991228
1223.507 0.995614
2730.288 1.000000
