# gap_ms cdf
0.0 0.001828
0.0 0.003656
0.0 0.005484
0.0 0.007313
0.0 0.009141
0.0 0.010969
0.001 0.012797
0.041 0.014625
0.041 0.016453
0.041 0.018282
0.044 0.020110
0.044 0.021938
0.045 0.023766
0.045 0.025594
0.045 0.027422
0.046 0.029250
0.046 0.031079
0.046 0.032907
0.047 0.034735
0.047 0.036563
0.047 0.038391
0.047 0.040219
0.048 0.042048
0.048 0.043876
0.048 0.045704
0.049 0.047532
0.049 0.049360
0.05 0.051188
0.051 0.053016
0.051 0.054845
0.052 0.056673
0.055 0.058501
0.057 0.060329
0.06 0.062157
0.061 0.063985
0.064 0.065814
0.064 0.067642
0.065 0.069470
0.067 0.071298
0.068 0.073126
0.068 0.074954
0.071 0.076782
0.071 0.078611
0.072 0.080439
0.074 0.082267
0.074 0.084095
0.075 0.085923
0.076 0.087751
0.076 0.089580
0.076 0.091408
0.077 0.093236
0.078 0.095064
0.082 0.096892
0.083 0.098720
0.087 0.100548
0.09 0.102377
0.09 0.104205
0.091 0.106033
0.091 0.107861
0.094 0.109689
0.095 0.111517
0.096 0.113346
0.097 0.115174
0.098 0.117002
0.099 0.118830
0.099 0.120658
0.099 0.122486
0.101 0.124314
0.102 0.126143
0.102 0.127971
0.103 0.129799
0.105 0.131627
0.105 0.133455
0.107 0.135283
0.11 0.137112
0.111 0.138940
0.111 0.140768
0.115 0.142596
0.115 0.144424
0.115 0.146252
0.116 0.148080
0.117 0.149909
0.117 0.151737
0.122 0.153565
0.123 0.155393
0.123 0.157221
0.125 0.159049
0.126 0.160878
0.128 0.162706
0.134 0.164534
0.136 0.166362
0.138 0.168190
0.139 0.170018
0.139 0.171846
0.139 0.173675
0.139 0.175503
0.139 0.177331
0.143 0.179159
0.144 0.180987
0.15 0.182815
0.152 0.184644
0.155 0.186472
0.159 0.188300
0.16 0.190128
0.16 0.191956
0.16 0.193784
0.163 0.195612
0.163 0.197441
0.165 0.199269
0.18 0.201097
0.182 0.202925
0.185 0.204753
0.186 0.206581
0.186 0.208410
0.192 0.210238
0.192 0.212066
0.192 0.213894
0.193 0.215722
0.195 0.217550
0.203 0.219378
0.209 0.221207
0.216 0.223035
0.218 0.224863
0.221 0.226691
0.222 0.228519
0.224 0.230347
0.224 0.232176
0.232 0.234004
0.242 0.235832
0.245 0.237660
0.261 0.239488
0.264 0.241316
0.266 0.243144
0.27 0.244973
0.272 0.246801
0.273 0.248629
0.281 0.250457
0.293 0.252285
0.296 0.254113
0.303 0.255941
0.304 0.257770
0.308 0.259598
0.309 0.261426
0.32 0.263254
0.329 0.265082
0.336 0.266910
0.345 0.268739
0.351 0.270567
0.363 0.272395
0.375 0.274223
0.378 0.276051
