# our_gap_ms badpass_delta_ms is_proxied
71.893 102.87 1
131.701 249.464 1
139.125 351.184 1
104.735 255.356 0
0.045 277.355 0
257.172 1097.877 0
57.178 148.848 1
54.591 105.923 1
81.533 133.745 1
15.204 105.191 0
431.282 518.797 1
177.304 137.79 1
57.465 122.088 0
48.064 52.963 1
113.09 187.762 1
120.707 414.23 0
35.052 72.126 0
46.325 90.241 0
83.753 12.135 0
58.399 142.19 1
97.119 112.286 1
116.482 267.06 0
373.432 183.257 0
53.147 51.765 1
54.328 121.433 0
367.304 619.601 1
113.73 379.388 0
49.448 134.123 1
53.606 87.225 0
94.246 52.61 1
68.059 106.047 0
29.577 82.634 1
254.695 818.134 0
63.536 119.566 0
48.713 70.381 1
48.265 147.892 1
67.308 84.227 0
544.215 1100.31 1
58.546 152.888 0
46.987 113.079 0
133.905 275.262 0
54.014 81.667 0
52.839 131.444 0
45.093 58.504 0
72.658 92.301 0
379.674 1031.35 0
56.043 121.713 1
80.12 81.835 0
71.772 89.964 0
36.005 90.633 0
53.484 210.255 1
110.365 19.407 1
584.554 686.936 0
80.749 88.231 1
328.943 7831.671 0
508.689 633.43 1
40.027 75.149 1
40.489 56.934 0
44.246 86.452 0
262.911 212.378 1
4.429 715.12 1
47.3 53.327 0
36.016 74.291 1
44.961 56.324 0
58.314 54.587 0
330.965 371.673 1
76.317 182.649 0
76.461 138.086 1
58.464 75.446 0
58.198 224.113 0
49.476 95.532 0
26.451 293.508 0
252.902 302.779 1
57.697 189.496 0
67.388 181.444 1
39.706 114.766 0
44.933 66.69 0
58.355 75.627 0
63.328 234.973 1
377.281 381.033 1
40.551 176.161 0
242.106 245.367 0
47.766 56.809 0
36.658 86.197 0
0.609 10.861 0
582.322 579.892 0
337.478 202.055 1
57.558 99.871 0
50.346 83.233 1
248.888 265.191 1
49.404 53.129 0
44.875 117.65 0
62.989 87.969 0
54.669 114.656 1
37.65 350.941 0
213.717 267.124 1
252.336 284.044 0
58.4 70.22 0
4.965 37.277 0
52.473 63.071 1
57.647 98.087 0
278.477 269.368 0
44.893 124.475 1
225.158 356.472 1
50.418 66.976 0
76.8 74.047 0
202.777 208.619 1
62.135 112.832 1
458.395 383.065 1
241.505 293.724 0
50.732 147.712 0
138.996 112.423 0
1133.852 535.38 1
26.922 47.882 1
63.789 123.357 1
62.916 61.66 0
378.623 374.273 1
234.068 244.697 0
48.785 84.728 1
216.604 253.204 1
53.899 131.388 1
89.711 115.465 1
122.152 137.409 0
329.71 328.333 1
239.053 266.632 1
56.203 48.859 1
53.911 107.393 1
62.747 96.348 1
105.316 116.599 1
234.425 241.175 1
49.387 59.942 1
244.921 280.201 1
44.967 66.504 1
98.993 61.791 1
53.905 95.876 1
136.087 115.139 1
257.341 321.028 1
292.89 490.991 1
43.941 45.887 1
52.872 105.764 1
58.437 190.988 1
105.04 113.959 1
241.852 233.968 1
53.995 52.484 1
201.593 205.683 1
42.907 59.261 1
49.431 81.009 1
