# country_idx server_idx median_gap
0 0 103.2
0 1 102.9
0 2 127.6
0 3 147.6
1 0 86.8
1 1 79.5
1 2 69.9
1 3 84.8
2 0 147.4
2 1 144.4
2 2 139.4
2 3 133.0
3 0 117.0
3 1 112.9
3 2 113.6
3 3 107.6
4 0 125.3
4 1 130.2
4 2 129.4
4 3 132.3
5 0 113.6
5 1 117.1
5 2 108.0
5 3 109.6
6 0 -1.0
6 1 -1.0
6 2 -1.0
6 3 -1.0
7 0 199.1
7 1 196.0
7 2 188.0
7 3 227.0
8 0 197.0
8 1 197.7
8 2 200.5
8 3 203.0
9 0 236.2
9 1 296.9
9 2 256.8
9 3 255.7
10 0 294.6
10 1 304.5
10 2 291.1
10 3 288.5
11 0 265.5
11 1 277.2
11 2 271.3
11 3 274.1
12 0 324.5
12 1 301.5
12 2 307.2
12 3 310.2
13 0 285.5
13 1 311.0
13 2 277.7
13 3 283.4
14 0 320.6
14 1 301.4
14 2 308.5
14 3 314.7
