# country_idx server_idx median_gap
0 0 107.8
0 1 106.8
0 2 79.3
0 3 80.1
1 0 77.5
1 1 149.0
1 2 125.2
1 3 129.6
2 0 186.7
2 1 178.0
2 2 182.7
2 3 189.9
3 0 185.6
3 1 178.7
3 2 190.0
3 3 195.7
4 0 194.1
4 1 197.8
4 2 191.2
4 3 192.3
5 0 195.6
5 1 179.5
5 2 197.0
5 3 149.8
6 0 204.7
6 1 213.0
6 2 215.3
6 3 185.4
7 0 262.4
7 1 245.8
7 2 237.2
7 3 237.6
8 0 362.8
8 1 343.1
8 2 390.3
8 3 337.4
9 0 328.3
9 1 317.9
9 2 313.7
9 3 318.2
10 0 347.0
10 1 305.3
10 2 324.1
10 3 317.6
11 0 402.3
11 1 360.0
11 2 343.4
11 3 391.1
12 0 437.0
12 1 406.6
12 2 399.8
12 3 424.6
13 0 378.0
13 1 356.0
13 2 343.3
13 3 340.6
14 0 354.4
14 1 352.8
14 2 363.7
14 3 355.9
