# country_idx server_idx median_gap
0 0 108.1
0 1 81.1
0 2 69.3
0 3 63.6
1 0 70.2
1 1 60.6
1 2 57.5
1 3 70.0
2 0 114.4
2 1 119.3
2 2 125.5
2 3 128.6
3 0 165.5
3 1 50.4
3 2 200.6
3 3 30.9
4 0 446.3
4 1 476.6
4 2 466.9
4 3 444.6
5 0 175.7
5 1 188.7
5 2 188.5
5 3 184.1
6 0 232.5
6 1 209.8
6 2 247.0
6 3 243.5
7 0 265.0
7 1 254.8
7 2 277.9
7 3 262.9
8 0 450.9
8 1 433.9
8 2 465.7
8 3 425.6
9 0 284.8
9 1 327.7
9 2 289.3
9 3 286.2
10 0 315.6
10 1 312.3
10 2 328.7
10 3 308.3
11 0 434.7
11 1 448.1
11 2 441.6
11 3 444.9
12 0 449.6
12 1 425.2
12 2 487.5
12 3 405.6
13 0 450.3
13 1 462.1
13 2 446.5
13 3 438.8
14 0 341.2
14 1 338.6
14 2 345.4
14 3 347.1
