# country_idx server_idx median_gap
0 0 155.1
0 1 173.0
0 2 201.6
0 3 195.4
1 0 189.5
1 1 192.3
1 2 198.4
1 3 164.9
2 0 194.9
2 1 207.1
2 2 202.6
2 3 201.0
3 0 190.8
3 1 191.0
3 2 209.6
3 3 198.3
4 0 174.5
4 1 195.5
4 2 201.4
4 3 205.4
5 0 189.7
5 1 185.9
5 2 200.3
5 3 193.2
6 0 199.3
6 1 186.7
6 2 200.7
6 3 189.8
7 0 195.8
7 1 186.8
7 2 214.9
7 3 179.2
8 0 199.1
8 1 196.8
8 2 198.3
8 3 180.5
9 0 184.0
9 1 186.4
9 2 184.3
9 3 192.2
10 0 195.8
10 1 175.5
10 2 198.0
10 3 182.7
11 0 199.3
11 1 193.3
11 2 198.7
11 3 193.3
12 0 182.8
12 1 203.9
12 2 200.5
12 3 185.4
13 0 198.1
13 1 188.7
13 2 206.5
13 3 186.4
14 0 190.8
14 1 191.2
14 2 202.8
14 3 197.4
