# country_idx server_idx median_gap
0 0 200.0
0 1 191.5
0 2 201.3
0 3 205.1
1 0 176.4
1 1 193.1
1 2 188.6
1 3 184.0
2 0 198.1
2 1 192.6
2 2 198.4
2 3 192.0
3 0 185.5
3 1 197.9
3 2 185.3
3 3 196.1
4 0 195.1
4 1 197.1
4 2 201.5
4 3 194.3
5 0 188.6
5 1 178.9
5 2 194.4
5 3 191.1
6 0 162.2
6 1 189.4
6 2 195.4
6 3 209.9
7 0 203.4
7 1 203.7
7 2 198.2
7 3 184.3
8 0 193.8
8 1 193.7
8 2 202.3
8 3 186.1
9 0 197.4
9 1 193.3
9 2 202.5
9 3 185.5
10 0 198.1
10 1 198.7
10 2 194.7
10 3 171.0
11 0 185.0
11 1 186.9
11 2 209.3
11 3 200.4
12 0 192.1
12 1 190.7
12 2 200.4
12 3 190.2
13 0 195.2
13 1 194.2
13 2 190.0
13 3 187.8
14 0 186.9
14 1 187.0
14 2 205.0
14 3 187.1
