# country_idx server_idx median_gap
0 0 137.2
0 1 136.5
0 2 131.4
0 3 121.6
1 0 138.5
1 1 137.4
1 2 139.6
1 3 138.4
2 0 137.6
2 1 137.3
2 2 137.5
2 3 139.9
3 0 140.8
3 1 140.2
3 2 142.7
3 3 140.4
4 0 334.0
4 1 119.9
4 2 334.5
4 3 336.9
5 0 319.9
5 1 320.2
5 2 310.1
5 3 325.4
6 0 310.5
6 1 138.4
6 2 296.4
6 3 315.6
7 0 151.4
7 1 140.4
7 2 146.3
7 3 141.5
8 0 337.8
8 1 220.2
8 2 213.6
8 3 334.8
9 0 152.2
9 1 318.1
9 2 289.8
9 3 178.2
10 0 137.3
10 1 138.7
10 2 138.2
10 3 138.7
11 0 126.2
11 1 317.4
11 2 161.3
11 3 335.3
12 0 140.2
12 1 250.6
12 2 139.6
12 3 150.2
13 0 149.1
13 1 140.7
13 2 150.6
13 3 132.7
14 0 339.6
14 1 309.9
14 2 336.9
14 3 400.9
