# x(server) y(country) z(median_gap)
0 0 108.5
1 0 108.8
2 0 108.9
3 0 105.0

0 1 132.6
1 1 132.7
2 1 132.1
3 1 133.2

0 2 140.8
1 2 138.9
2 2 138.7
3 2 140.6

0 3 140.8
1 3 139.0
2 3 140.5
3 3 136.5

0 4 137.6
1 4 153.6
2 4 152.2
3 4 144.7

0 5 197.0
1 5 205.2
2 5 203.9
3 5 173.6

0 6 279.1
1 6 171.4
2 6 228.2
3 6 246.9

0 7 210.9
1 7 200.3
2 7 196.5
3 7 210.3

0 8 246.5
1 8 262.6
2 8 266.1
3 8 278.2

0 9 259.8
1 9 307.5
2 9 270.9
3 9 259.9

0 10 276.2
1 10 275.1
2 10 279.1
3 10 277.0

0 11 276.6
1 11 318.2
2 11 288.6
3 11 323.9

0 12 324.5
1 12 316.2
2 12 306.0
3 12 316.5

0 13 285.0
1 13 277.0
2 13 273.1
3 13 270.6

0 14 335.0
1 14 317.9
2 14 329.7
3 14 340.3

